dv2_rank_high_to_low,lga_code,lga_name,state_abbrev,vulnerable_pct_dv2,vulnerable_n_dv2,valid_scores_n_dv2,dv2_vulnerability_quartile,is_high_dv2_lga,usual_resident_population,irsd_score,irsd_australia_decile,irsd_australia_percentile,irsd_disadvantage_group,irsad_score,irsad_australia_decile,ier_score,ier_australia_decile,ieo_score,ieo_australia_decile,n_services,services_per_10000_population,total_approved_places,approved_places_per_10000_population,mean_train_distance_km,median_train_distance_km,mean_bus_distance_km,median_bus_distance_km,mean_nearest_transport_distance_km,median_nearest_transport_distance_km,transport_distance_quartile,pct_within_1km_any_transport,pct_farther_than_5km_any_transport
1,74050,Tiwi Islands,NT,81.25,26.0,32.0,Q4 highest DV2,True,2348.0,563.8833218,1.0,4.0,Most disadvantaged: IRSD deciles 1-2,729.0307997,1.0,539.5069997,1.0,859.7093709,1.0,2.0,8.517887563884157,65.0,276.8313458262351,102.12764363886711,102.12764363886711,90.79965918762036,90.79965918762036,90.79965918762036,90.79965918762036,Q4 farthest from transport,0.0,100.0
2,40250,Anangu Pitjantjatjara Yunkunyt,SA,77.7777777777778,28.0,36.0,Q4 highest DV2,True,2333.0,496.3265311,1.0,1.0,Most disadvantaged: IRSD deciles 1-2,705.8294712,1.0,519.415049,1.0,889.3886489,2.0,4.0,17.145306472353194,110.0,471.4959279897128,181.6264071854129,147.40358238895038,263.56728332881346,219.4907801124195,179.73256112777418,147.40358238895038,Q4 farthest from transport,0.0,100.0
3,72330,MacDonnell,NT,74.5454545454545,41.0,55.0,Q4 highest DV2,True,5748.0,565.6505055,1.0,4.0,Most disadvantaged: IRSD deciles 1-2,727.2704691,1.0,590.4714517,1.0,861.1133109,1.0,3.0,5.21920668058455,102.0,177.45302713987473,243.9375903068752,206.941415643059,288.92917111945667,256.812575992648,237.87868221066387,206.941415643059,Q4 farthest from transport,0.0,100.0
4,70420,Barkly,NT,60.6060606060606,60.0,99.0,Q4 highest DV2,True,6316.0,669.6203716,1.0,6.0,Most disadvantaged: IRSD deciles 1-2,790.0111862,1.0,697.8099372,1.0,886.6988146,2.0,4.0,6.333122229259025,171.0,270.7409753008233,335.7482795246207,359.1688372390225,106.11432228994312,87.69761064982883,105.63052055482136,86.73000717958533,Q4 farthest from transport,50.0,50.0
5,74680,West Daly,NT,52.5423728813559,31.0,59.0,Q4 highest DV2,True,2973.0,439.4829877,1.0,1.0,Most disadvantaged: IRSD deciles 1-2,676.6035467,1.0,488.4320972,1.0,899.4377923,2.0,1.0,3.3636057854019508,35.0,117.72620248906829,247.586629052318,247.586629052318,244.48745033232,244.48745033232,244.48745033232,244.48745033232,Q4 farthest from transport,0.0,100.0
6,53920,Halls Creek,WA,51.4285714285714,36.0,70.0,Q4 highest DV2,True,3574.0,540.1226449,1.0,3.0,Most disadvantaged: IRSD deciles 1-2,701.667568,1.0,571.9846197,1.0,836.0300549,1.0,1.0,2.797985450475658,66.0,184.6670397313934,640.008446729762,640.008446729762,224.304836935972,224.304836935972,224.304836935972,224.304836935972,Q4 farthest from transport,0.0,100.0
7,32330,Cherbourg,QLD,43.75,14.0,32.0,Q4 highest DV2,True,1194.0,498.1020393,1.0,2.0,Most disadvantaged: IRSD deciles 1-2,659.6108474,1.0,560.7790086,1.0,813.6216604,1.0,2.0,16.75041876046901,106.0,887.7721943048576,71.8973851327829,71.8973851327829,141.14444525691448,141.14444525691448,71.8973851327829,71.8973851327829,Q4 farthest from transport,0.0,100.0
8,73600,Roper Gulf,NT,41.9354838709677,39.0,93.0,Q4 highest DV2,True,6486.0,534.0460928,1.0,3.0,Most disadvantaged: IRSD deciles 1-2,709.339701,1.0,563.8677609,1.0,866.8152745,1.0,7.0,10.792476102374346,166.0,255.93586185630588,218.5343367594084,267.845980461643,411.3855792621106,457.576590217607,217.06268543005692,267.845980461643,Q4 farthest from transport,0.0,100.0
9,32500,Cook,QLD,41.3333333333333,31.0,75.0,Q4 highest DV2,True,4511.0,913.0136332,2.0,16.0,Most disadvantaged: IRSD deciles 1-2,912.0465915,3.0,884.8683611,2.0,936.6125061,5.0,3.0,6.650410108623365,80.0,177.3442695632897,240.798724955739,154.57746369867,365.36186961708034,282.409922020554,240.798724955739,154.57746369867,Q4 farthest from transport,0.0,100.0
10,11150,Bourke,NSW,40.0,20.0,50.0,Q4 highest DV2,True,2340.0,946.6859086,3.0,28.0,Disadvantaged: IRSD deciles 3-4,954.0871487,6.0,946.603762,3.0,979.6716901,8.0,2.0,8.547008547008547,78.0,333.3333333333333,331.91553528598047,331.91553528598047,506.1165686973415,506.1165686973415,331.91553528598047,331.91553528598047,Q4 farthest from transport,0.0,100.0
