dv2_vulnerability_quartile,keyword,keyword_count,n_lgas,n_reviews,mean_dv2,rank_within_dv2_quartile
Q1 lowest DV2,very,2474,41,1740,6.653183323567956,1
Q1 lowest DV2,all,2341,41,1688,6.655528487530064,2
Q1 lowest DV2,educators,1873,35,1455,6.774126086387442,3
Q1 lowest DV2,great,1704,41,1392,6.708056210642384,4
Q1 lowest DV2,always,1440,40,1110,6.698580192119113,5
Q1 lowest DV2,recommend,1393,41,1367,6.5887783463461425,6
Q1 lowest DV2,love,1234,39,1015,6.689827356666173,7
Q1 lowest DV2,amazing,1221,39,1026,6.628696214151994,8
Q1 lowest DV2,happy,1164,41,1004,6.697326695931885,9
Q1 lowest DV2,time,1162,41,923,6.606070863754136,10
Q1 lowest DV2,when,1156,41,897,6.6060151984856885,11
Q1 lowest DV2,about,1148,41,941,6.570074155433082,12
Q1 lowest DV2,well,1137,41,953,6.656777347615165,13
Q1 lowest DV2,highly,1094,40,1038,6.626222130972949,14
Q1 lowest DV2,good,1018,40,849,6.652200544639464,15
Q1 lowest DV2,can,1015,41,834,6.609037059687258,16
Q1 lowest DV2,team,991,40,798,6.6620013359336925,17
Q1 lowest DV2,caring,963,39,915,6.651269767073838,18
Q1 lowest DV2,one,949,41,746,6.655047901588808,19
Q1 lowest DV2,place,931,38,773,6.603514983084765,20
Q1 lowest DV2,would,903,41,752,6.624368401615584,21
Q1 lowest DV2,really,901,39,718,6.647816152019952,22
Q1 lowest DV2,much,830,40,710,6.554299358354459,23
Q1 lowest DV2,every,827,40,679,6.669442384270185,24
Q1 lowest DV2,little,814,39,590,6.682438729800839,25
Q1 lowest DV2,friendly,809,40,788,6.7273847710226455,26
Q1 lowest DV2,also,799,40,669,6.620256000985675,27
Q1 lowest DV2,year,789,40,661,6.523212749893683,28
Q1 lowest DV2,environment,788,39,710,6.526927018403111,29
Q1 lowest DV2,wonderful,779,41,698,6.647800224032379,30
Q1 lowest DV2,feel,761,41,655,6.615253499821965,31
Q1 lowest DV2,years,759,40,676,6.549569308958294,32
Q1 lowest DV2,who,736,41,615,6.55535101158272,33
Q1 lowest DV2,activities,735,38,664,6.630276247732764,34
Q1 lowest DV2,thank,735,38,665,6.612836279012192,35
Q1 lowest DV2,experience,734,41,635,6.636093173582864,36
Q1 lowest DV2,like,725,41,616,6.535209398095769,37
Q1 lowest DV2,best,710,40,618,6.704752212428212,38
Q1 lowest DV2,just,690,40,579,6.5564814831251015,39
Q1 lowest DV2,loves,680,37,645,6.7048306301438725,40
Q1 lowest DV2,more,662,40,574,6.624431471103392,41
Q1 lowest DV2,going,661,39,603,6.610744776544906,42
Q1 lowest DV2,now,658,41,587,6.764356729349877,43
Q1 lowest DV2,which,656,41,553,6.5727674876937385,44
Q1 lowest DV2,positive,652,35,613,6.587004580439703,45
Q1 lowest DV2,what,641,41,523,6.63386108746367,46
Q1 lowest DV2,since,637,41,596,6.441009607370357,47
Q1 lowest DV2,new,633,39,528,6.599295381740308,48
Q1 lowest DV2,how,632,41,522,6.6427096061949635,49
Q1 lowest DV2,each,631,38,515,6.550113155133929,50
Q1 lowest DV2,room,630,37,443,6.707378205324269,51
Q1 lowest DV2,such,628,41,532,6.663796946699134,52
Q1 lowest DV2,family,625,38,536,6.505168514269858,53
Q1 lowest DV2,after,614,40,520,6.61397338970274,54
Q1 lowest DV2,will,612,41,501,6.6768016631251665,55
Q1 lowest DV2,made,569,40,514,6.595845835224812,56
Q1 lowest DV2,out,541,41,457,6.656617526851857,57
Q1 lowest DV2,home,534,38,458,6.599514058045225,58
Q1 lowest DV2,any,532,39,470,6.608531801462652,59
Q1 lowest DV2,months,530,35,467,6.630649719288124,60
Q1 lowest DV2,quality,527,38,500,6.640620805517718,61
Q1 lowest DV2,other,526,41,442,6.657461021956425,62
Q1 lowest DV2,only,511,40,437,6.499704339722848,63
Q1 lowest DV2,old,507,37,437,6.550737566696271,64
Q1 lowest DV2,know,495,40,431,6.640702151323921,65
Q1 lowest DV2,first,494,39,444,6.683028632861518,66
Q1 lowest DV2,work,487,40,443,6.566246224019925,67
Q1 lowest DV2,both,485,40,415,6.660351412381599,68
Q1 lowest DV2,absolutely,475,39,450,6.686556149817687,69
Q1 lowest DV2,even,475,37,400,6.5968964134003745,70
Q1 lowest DV2,get,471,37,398,6.612443458720863,71
Q1 lowest DV2,many,458,40,391,6.5805584919887945,72
Q1 lowest DV2,fun,438,38,409,6.6492248620551475,73
Q1 lowest DV2,looking,438,37,417,6.699955007868428,74
Q1 lowest DV2,fantastic,434,37,413,6.732952834183461,75
Q1 lowest DV2,see,433,38,372,6.563125315063322,76
Q1 lowest DV2,management,431,34,387,6.725060767599206,77
Q1 lowest DV2,over,430,41,374,6.645340666308131,78
Q1 lowest DV2,lovely,429,34,407,6.743939373537238,79
Q1 lowest DV2,attending,426,35,408,6.537151818894033,80
Q1 lowest DV2,professionalism,423,33,416,6.645278660287665,81
Q1 lowest DV2,clean,420,34,413,6.667846395243082,82
Q1 lowest DV2,safe,404,35,384,6.685979320722488,83
Q1 lowest DV2,make,402,40,368,6.646495556313414,84
Q1 lowest DV2,excellent,386,37,360,6.570559892032566,85
Q1 lowest DV2,friends,384,40,362,6.633776138134884,86
Q1 lowest DV2,some,384,39,319,6.480142263903463,87
Q1 lowest DV2,enough,381,40,355,6.520560012377139,88
Q1 lowest DV2,play,378,37,323,6.716422829889633,89
Q1 lowest DV2,welcoming,374,36,366,6.587880411331704,90
Q1 lowest DV2,facilities,368,37,360,6.738455831229051,91
Q1 lowest DV2,started,368,36,345,6.494648054563375,92
Q1 lowest DV2,warm,360,36,350,6.573489796234418,93
Q1 lowest DV2,never,358,37,308,6.332244640120483,94
Q1 lowest DV2,kind,355,38,340,6.496868660610553,95
Q1 lowest DV2,most,355,40,326,6.640363744612654,96
Q1 lowest DV2,development,352,37,321,6.429075535592222,97
Q1 lowest DV2,because,349,36,289,6.373035316322637,98
Q1 lowest DV2,communication,347,38,330,6.6611416524673155,99
Q1 lowest DV2,food,345,32,319,6.867377302072853,100
Q1 lowest DV2,professional,339,35,329,6.788179544363326,101
Q1 lowest DV2,say,339,39,310,6.513201718972007,102
Q1 lowest DV2,area,335,35,303,6.700275596693156,103
Q1 lowest DV2,could,332,40,292,6.530739162022286,104
Q1 lowest DV2,two,332,38,308,6.6046164231361315,105
Q1 lowest DV2,through,329,41,293,6.661785690660036,106
Q1 lowest DV2,couldn,328,39,313,6.653576872399244,107
Q1 lowest DV2,lot,326,37,290,6.614245389354243,108
Q1 lowest DV2,nice,326,37,306,6.65428413827536,109
Q1 lowest DV2,days,325,35,275,6.651671388756084,110
Q1 lowest DV2,things,325,40,293,6.582198077357912,111
Q1 lowest DV2,nurturing,322,37,309,6.627579120978121,112
Q1 lowest DV2,needs,321,38,297,6.673502774528167,113
Q1 lowest DV2,truly,321,35,283,6.480871824337313,114
Q1 lowest DV2,supportive,318,39,307,6.575488421654138,115
Q1 lowest DV2,everyone,317,38,293,6.712700077534627,116
Q1 lowest DV2,thanks,317,36,294,6.699090286898375,117
Q1 lowest DV2,take,308,39,289,6.6875457610944595,118
Q1 lowest DV2,community,306,37,277,6.531808768249229,119
Q1 lowest DV2,don,304,36,256,6.4656404036403705,120
Q1 lowest DV2,reliability,304,23,302,6.579495808112621,121
Q1 lowest DV2,off,297,37,270,6.736559596748083,122
Q1 lowest DV2,beyond,293,36,278,6.67419453701163,123
Q1 lowest DV2,manager,291,28,254,6.679767806091364,124
Q1 lowest DV2,students,290,28,186,6.441208694477656,125
Q1 lowest DV2,support,289,38,263,6.613910533774543,126
Q1 lowest DV2,than,288,40,267,6.670974447550681,127
Q1 lowest DV2,beautiful,283,36,272,6.612017708146694,128
Q1 lowest DV2,people,283,37,242,6.489851085475124,129
Q1 lowest DV2,went,281,36,255,6.525001992220405,130
Q1 lowest DV2,where,279,39,252,6.5330527049557805,131
Q1 lowest DV2,back,276,39,240,6.409776200336684,132
Q1 lowest DV2,way,275,40,254,6.605100723157968,133
Q1 lowest DV2,learn,268,34,255,6.688583952762705,134
Q1 lowest DV2,help,265,36,248,6.597248566277017,135
Q1 lowest DV2,helpful,264,35,257,6.76147711920556,136
Q1 lowest DV2,different,263,36,237,6.754376342807587,137
Q1 lowest DV2,director,263,31,236,6.629283386583939,138
Q1 lowest DV2,loved,262,36,246,6.520547362442954,139
Q1 lowest DV2,big,261,36,236,6.80032197684016,140
Q1 lowest DV2,attended,260,38,251,6.7775664457087945,141
Q1 lowest DV2,too,258,37,244,6.628029263437445,142
Q1 lowest DV2,responsiveness,256,24,255,6.5969492604434965,143
Q1 lowest DV2,above,255,35,245,6.679222694189058,144
Q1 lowest DV2,value,255,33,252,6.484203993059527,145
Q1 lowest DV2,found,253,36,238,6.722237085571718,146
Q1 lowest DV2,daily,252,32,238,6.755309076661104,147
Q1 lowest DV2,during,250,37,232,6.70746147539484,148
Q1 lowest DV2,anyone,247,37,235,6.6125913902365,149
Q1 lowest DV2,outdoor,244,31,228,6.559523341429687,150
Q1 lowest DV2,provide,244,31,223,6.659620715590721,151
Q1 lowest DV2,ever,238,37,218,6.620864483419223,152
Q1 lowest DV2,having,236,38,221,6.500964038917812,153
Q1 lowest DV2,did,233,36,203,6.587759180495974,154
Q1 lowest DV2,everything,233,36,219,6.617367880323753,155
Q1 lowest DV2,last,232,32,216,6.619741211093981,156
Q1 lowest DV2,lots,232,34,212,6.796858051923664,157
Q1 lowest DV2,grateful,231,37,225,6.636407222288395,158
Q1 lowest DV2,want,231,37,211,6.621276685566891,159
Q1 lowest DV2,week,227,35,197,6.544437774311262,160
Q1 lowest DV2,definitely,226,36,217,6.6351506844567805,161
Q1 lowest DV2,recommended,226,34,225,6.604652789653346,162
Q1 lowest DV2,few,224,34,208,6.669823278006644,163
Q1 lowest DV2,house,224,24,178,5.7264971142002725,164
Q1 lowest DV2,keep,223,34,208,6.64039682541962,165
Q1 lowest DV2,special,222,34,202,6.671102037847784,166
Q1 lowest DV2,making,219,38,203,6.6587386581540615,167
Q1 lowest DV2,pick,219,35,196,6.944412713918117,168
Q1 lowest DV2,better,218,36,200,6.5862510063879345,169
Q1 lowest DV2,happier,218,35,214,6.637582097293526,170
Q1 lowest DV2,provided,218,34,203,6.655679123902786,171
Q1 lowest DV2,extremely,217,35,198,6.623923064927397,172
Q1 lowest DV2,look,217,37,203,6.745534571990108,173
Q1 lowest DV2,montessori,217,6,147,6.825918699240329,174
Q1 lowest DV2,seen,217,36,197,6.4692223280137755,175
Q1 lowest DV2,come,216,35,204,6.664418373118407,176
Q1 lowest DV2,loving,215,33,205,6.666854902866682,177
Q1 lowest DV2,program,215,31,184,6.674051599264454,178
Q1 lowest DV2,skills,213,36,196,6.644127294361297,179
Q1 lowest DV2,comfortable,211,35,204,6.631032154201518,180
Q1 lowest DV2,job,211,35,200,6.637620553954725,181
Q1 lowest DV2,still,211,35,193,6.683615840269996,182
Q1 lowest DV2,before,210,36,194,6.695489488481361,183
Q1 lowest DV2,families,209,38,188,6.5601107135765995,184
Q1 lowest DV2,leave,209,37,196,6.588957756951886,185
Q1 lowest DV2,part,209,34,201,6.586090317375265,186
Q1 lowest DV2,then,209,33,169,6.379026627302538,187
Q1 lowest DV2,kinder,208,16,167,6.5332988594047015,188
Q1 lowest DV2,another,207,34,189,6.478632543993653,189
Q1 lowest DV2,especially,205,37,199,6.732513480354574,190
Q1 lowest DV2,felt,204,36,188,6.679963804006135,191
Q1 lowest DV2,park,203,18,151,7.0101871224024555,192
Q1 lowest DV2,while,203,35,182,6.742592293325164,193
Q1 lowest DV2,facility,201,32,184,6.357491468989433,194
Q1 lowest DV2,put,200,38,184,6.718260706902747,195
Q1 lowest DV2,class,199,31,166,6.272937015041618,196
Q1 lowest DV2,miss,199,32,143,6.8611640016071735,197
Q1 lowest DV2,around,198,35,184,6.737656708191884,198
Q1 lowest DV2,drop,198,35,183,6.791446756727086,199
Q1 lowest DV2,give,197,37,185,6.650318883254008,200
Q1 lowest DV2,send,197,35,190,6.689314428054473,201
Q1 lowest DV2,updates,197,31,189,6.7971018869399105,202
Q1 lowest DV2,attentive,193,32,191,6.631275275985776,203
Q1 lowest DV2,kid,192,30,159,6.680938473389554,204
Q1 lowest DV2,girls,189,33,136,6.550896912788899,205
Q1 lowest DV2,cannot,187,34,170,6.589449541128333,206
Q1 lowest DV2,high,187,35,175,6.505822801771902,207
Q1 lowest DV2,rooms,187,32,172,6.577260357401606,208
Q1 lowest DV2,doing,186,33,173,6.672221725888443,209
Q1 lowest DV2,need,184,34,175,6.4547450426897015,210
Q1 lowest DV2,makes,183,33,179,6.664578326901912,211
Q1 lowest DV2,done,182,36,170,6.718905592027421,212
Q1 lowest DV2,genuinely,181,34,179,6.659876924908333,213
Q1 lowest DV2,grow,181,30,171,6.567560167185492,214
Q1 lowest DV2,left,181,34,156,6.366388682767635,215
Q1 lowest DV2,moved,181,33,172,6.534543518927242,216
Q1 lowest DV2,got,179,35,157,6.46216246759778,217
Q1 lowest DV2,morning,179,29,169,6.648416656237321,218
Q1 lowest DV2,incredibly,178,35,171,6.5925562118956265,219
Q1 lowest DV2,incredible,177,34,164,6.485210388789172,220
Q1 lowest DV2,second,177,36,172,6.40068162127085,221
Q1 lowest DV2,exceptional,176,35,164,6.597250267118152,222
Q1 lowest DV2,patient,176,27,167,6.734897587456123,223
Q1 lowest DV2,hands,174,34,168,6.653455162198956,224
Q1 lowest DV2,times,174,32,157,6.451544355796841,225
Q1 lowest DV2,everyday,172,31,166,6.830953339845451,226
