dv2_vulnerability_quartile,keyword,keyword_count,n_lgas,n_reviews,mean_dv2,rank_within_dv2_quartile
Q1 lowest DV2,very,2474,41,1740,6.653183323567956,1
Q1 lowest DV2,all,2341,41,1688,6.655528487530064,2
Q1 lowest DV2,educators,1873,35,1455,6.774126086387442,3
Q1 lowest DV2,great,1704,41,1392,6.708056210642384,4
Q1 lowest DV2,always,1440,40,1110,6.698580192119113,5
Q1 lowest DV2,recommend,1393,41,1367,6.5887783463461425,6
Q1 lowest DV2,love,1234,39,1015,6.689827356666173,7
Q1 lowest DV2,amazing,1221,39,1026,6.628696214151994,8
Q1 lowest DV2,happy,1164,41,1004,6.697326695931885,9
Q1 lowest DV2,time,1162,41,923,6.606070863754136,10
Q1 lowest DV2,when,1156,41,897,6.6060151984856885,11
Q1 lowest DV2,about,1148,41,941,6.570074155433082,12
Q1 lowest DV2,well,1137,41,953,6.656777347615165,13
Q1 lowest DV2,highly,1094,40,1038,6.626222130972949,14
Q1 lowest DV2,good,1018,40,849,6.652200544639464,15
Q1 lowest DV2,can,1015,41,834,6.609037059687258,16
Q1 lowest DV2,team,991,40,798,6.6620013359336925,17
Q1 lowest DV2,caring,963,39,915,6.651269767073838,18
Q1 lowest DV2,one,949,41,746,6.655047901588808,19
Q1 lowest DV2,place,931,38,773,6.603514983084765,20
Q2 lower-middle DV2,all,3409,43,2478,10.033635007397688,1
Q2 lower-middle DV2,very,3128,43,2240,10.009256365509934,2
Q2 lower-middle DV2,educators,2523,29,2010,10.095763173119861,3
Q2 lower-middle DV2,great,2486,43,2073,10.003523197380824,4
Q2 lower-middle DV2,always,2217,41,1702,10.031072562860995,5
Q2 lower-middle DV2,love,1973,41,1643,10.019044347589341,6
Q2 lower-middle DV2,recommend,1921,42,1879,10.032973694056842,7
Q2 lower-middle DV2,amazing,1892,43,1633,10.097285325822297,8
Q2 lower-middle DV2,happy,1652,35,1380,10.005142462818874,9
Q2 lower-middle DV2,highly,1602,40,1535,10.08038996048455,10
Q2 lower-middle DV2,time,1474,42,1207,10.010882446384336,11
Q2 lower-middle DV2,one,1444,40,1155,9.982936687382669,12
Q2 lower-middle DV2,when,1433,41,1118,9.975704843190144,13
Q2 lower-middle DV2,well,1424,42,1229,10.006557183270923,14
Q2 lower-middle DV2,about,1410,42,1160,10.034623853264979,15
Q2 lower-middle DV2,good,1371,43,1160,9.993012482029924,16
Q2 lower-middle DV2,place,1335,40,1171,9.986228740680826,17
Q2 lower-middle DV2,friendly,1332,43,1290,10.073611209973176,18
Q2 lower-middle DV2,caring,1322,41,1270,9.975460910230854,19
Q2 lower-middle DV2,can,1298,41,1115,9.961131343783885,20
Q3 upper-middle DV2,all,2163,31,1600,13.597373640590341,1
Q3 upper-middle DV2,very,2020,31,1520,13.532090387828953,2
Q3 upper-middle DV2,great,1538,31,1298,13.576116088050599,3
Q3 upper-middle DV2,educators,1446,23,1146,13.617795716260273,4
Q3 upper-middle DV2,always,1442,31,1070,13.621573774036818,5
Q3 upper-middle DV2,recommend,1249,29,1229,13.584520037232771,6
Q3 upper-middle DV2,love,1243,30,1030,13.610655232885787,7
Q3 upper-middle DV2,amazing,1211,30,1012,13.732139166300437,8
Q3 upper-middle DV2,about,973,31,781,13.515633541908784,9
Q3 upper-middle DV2,highly,941,29,911,13.575389720649572,10
Q3 upper-middle DV2,time,911,30,746,13.522598295449782,11
Q3 upper-middle DV2,good,903,31,755,13.521677159447236,12
Q3 upper-middle DV2,happy,901,29,785,13.704151810146783,13
Q3 upper-middle DV2,when,884,30,681,13.532222873910616,14
Q3 upper-middle DV2,can,860,29,712,13.549919353279986,15
Q3 upper-middle DV2,one,840,31,685,13.41587865414246,16
Q3 upper-middle DV2,well,815,31,715,13.527591910747573,17
Q3 upper-middle DV2,much,806,30,690,13.56600671073686,18
Q3 upper-middle DV2,friendly,803,30,774,13.630692336086707,19
Q3 upper-middle DV2,would,798,31,672,13.508042398029936,20
Q4 highest DV2,all,501,15,391,17.25922033682707,1
Q4 highest DV2,very,483,15,354,17.126771389393838,2
Q4 highest DV2,great,423,15,345,17.544209830697035,3
Q4 highest DV2,educators,353,10,278,17.037030249113535,4
Q4 highest DV2,always,340,15,262,17.206013262880536,5
Q4 highest DV2,amazing,336,14,295,17.12462354104561,6
Q4 highest DV2,love,313,14,261,17.13383420101586,7
Q4 highest DV2,recommend,300,15,298,17.13788226650023,8
Q4 highest DV2,charcoal,255,1,1,20.7350901525659,9
Q4 highest DV2,grey,255,1,1,20.7350901525659,10
Q4 highest DV2,time,241,15,202,17.330301552513056,11
Q4 highest DV2,team,228,13,176,17.160332880895705,12
Q4 highest DV2,best,227,14,199,17.227750025524447,13
Q4 highest DV2,about,226,14,181,17.772758065527523,14
Q4 highest DV2,highly,224,15,218,17.0634059440214,15
Q4 highest DV2,friendly,222,15,214,17.257841906535393,16
Q4 highest DV2,when,221,15,177,17.314345031121928,17
Q4 highest DV2,happy,220,14,198,17.293861854267302,18
Q4 highest DV2,well,206,15,181,17.056884740899395,19
Q4 highest DV2,can,204,14,171,17.324331150489314,20
