state_name,state_abbrev,lga_code,lga_name,at_risk_pct_communication,at_risk_pct_language,on_track_pct_communication,on_track_pct_language,suppressed_any_communication,suppressed_any_dv1,suppressed_any_dv2,suppressed_any_language,valid_scores_n_communication,valid_scores_n_dv1,valid_scores_n_dv2,valid_scores_n_language,vulnerable_n_communication,vulnerable_n_dv1,vulnerable_n_dv2,vulnerable_n_language,vulnerable_pct_communication,vulnerable_pct_dv1,vulnerable_pct_dv2,vulnerable_pct_language,usual_resident_population,ieo_australia_decile,ier_australia_decile,irsad_australia_decile,irsd_australia_decile,ieo_australia_percentile,ier_australia_percentile,irsad_australia_percentile,irsd_australia_percentile,ieo_australia_rank,ier_australia_rank,irsad_australia_rank,irsd_australia_rank,ieo_max_sa1_score_in_lga,ier_max_sa1_score_in_lga,irsad_max_sa1_score_in_lga,irsd_max_sa1_score_in_lga,ieo_min_sa1_score_in_lga,ier_min_sa1_score_in_lga,irsad_min_sa1_score_in_lga,irsd_min_sa1_score_in_lga,ieo_no_sa1_score_population_percent,ier_no_sa1_score_population_percent,irsad_no_sa1_score_population_percent,irsd_no_sa1_score_population_percent,ieo_no_sa1_score_population_share,ier_no_sa1_score_population_share,irsad_no_sa1_score_population_share,irsd_no_sa1_score_population_share,ieo_score,ier_score,irsad_score,irsd_score,ieo_state_decile,ier_state_decile,irsad_state_decile,irsd_state_decile,ieo_state_percentile,ier_state_percentile,irsad_state_percentile,irsd_state_percentile,ieo_state_rank,ier_state_rank,irsad_state_rank,irsd_state_rank,irsd_disadvantage_group,is_most_disadvantaged_irsd_decile_1_2,has_seifa_profile,lga_area_sq_km,n_service_records,n_services,services_per_100_sq_km,n_services_with_approved_places,pct_services_with_approved_places,total_approved_places,mean_approved_places,median_approved_places,approved_places_per_service,approved_places_per_100_sq_km,n_services_with_assessed_nqs_rating,n_excellent_nqs_services,n_exceeding_nqs_services,n_high_quality_services,n_meeting_or_above_nqs_services,n_below_meeting_nqs_services,pct_excellent_nqs_services,pct_exceeding_nqs_services,pct_high_quality_services,pct_meeting_or_above_nqs_services,pct_below_meeting_nqs_services,n_services_with_train_distance,n_services_with_bus_distance,n_services_with_any_transport_distance,pct_services_with_train_distance,pct_services_with_bus_distance,pct_services_with_any_transport_distance,mean_train_distance_km,median_train_distance_km,mean_bus_distance_km,median_bus_distance_km,mean_nearest_transport_distance_km,median_nearest_transport_distance_km,n_within_1km_train,n_within_1km_bus,n_within_1km_any_transport,n_farther_than_5km_any_transport,pct_within_1km_train,pct_within_1km_bus,pct_within_1km_any_transport,pct_farther_than_5km_any_transport,has_service_summary,n_reviewed_service_names,n_matched_education_services_represented,n_services_with_google_overall_rating,mean_google_overall_rating,median_google_overall_rating,min_google_overall_rating,max_google_overall_rating,total_reported_google_reviews,mean_reported_reviews_per_service,n_services_matched_by_source_name,n_services_matched_by_google_title_fallback,n_services_where_google_title_differs_from_source,n_review_rows,n_individual_rating_rows,mean_individual_rating,median_individual_rating,n_5_star_individual_reviews,n_4_star_individual_reviews,n_3_star_individual_reviews,n_2_star_individual_reviews,n_1_star_individual_reviews,n_comment_rows,total_comment_words,mean_comment_word_count_including_no_comment,median_comment_word_count_including_no_comment,n_truncated_comments,n_exact_duplicate_review_rows,n_duplicate_comment_rows_within_service,pct_review_rows_with_comment,pct_5_star_individual_reviews,pct_1_or_2_star_individual_reviews,avg_review_rows_per_reviewed_service_name,avg_comment_words_per_comment,pct_services_with_google_review_data,has_google_review_summary,services_per_10000_population,approved_places_per_10000_population,high_quality_services_per_10000_population,below_meeting_nqs_services_per_10000_population,reviewed_service_names_per_10000_population,review_rows_per_10000_population,services_per_1000_valid_aedc_dv2_scores,approved_places_per_1000_valid_aedc_dv2_scores,is_special_aedc_lga_code,included_in_core_lga_analysis,included_in_google_review_analysis,dv2_vulnerability_quartile,is_high_dv2_lga,dv1_vulnerability_quartile,transport_distance_quartile,google_rating_quartile
Australian Capital Territory,ACT,89399,Unincorporated ACT,19.2481474787638,10.1465002712968,71.5886499186698,83.3966359196962,False,False,False,False,5533.0,5521.0,5532.0,5529.0,507.0,1474.0,735.0,357.0,9.16320260256642,26.6980619452998,13.2863340563991,6.45686380900705,453890.0,10.0,9.0,10.0,10.0,93.0,88.0,94.0,94.0,508.0,478.0,513.0,514.0,1271.517341,1315.08995,1272.989611,1182.862331,708.0281471,587.246918,698.6356234,591.5463735,1.8945119,1.9026636,1.9026636,1.9026636,0.018945119,0.019026636,0.019026636,0.019026636,1107.884371,1036.702865,1090.511305,1070.922935,,,,,,,,,,,,,Most advantaged: IRSD deciles 9-10,False,True,2358.133,376.0,376.0,15.9448173618706,370.0,98.40425531914892,31127.0,84.12702702702703,77.0,82.78457446808511,1319.984920273793,354.0,0.0,156.0,156.0,303.0,51.0,0.0,44.06779661016949,44.06779661016949,85.59322033898306,14.40677966101695,376.0,376.0,376.0,100.0,100.0,100.0,6.159101477602549,5.629401294549205,9.224157595364971,9.117954000915056,6.146745559995726,5.629401294549205,44.0,5.0,44.0,203.0,11.702127659574469,1.3297872340425532,11.702127659574469,53.98936170212766,True,4.0,4.0,4.0,4.525,4.4,4.3,5.0,562.0,140.5,4.0,0.0,2.0,281.0,281.0,4.469750889679715,5.0,199.0,48.0,17.0,1.0,16.0,212.0,8313.0,29.583629893238435,14.0,4.0,67.0,0.0,75.44483985765125,70.8185053380783,6.049822064056939,70.25,39.2122641509434,1.0638297872340423,True,8.283945449337946,685.7828989402718,3.4369560906827648,1.1236202604155192,0.08812707924827601,6.19092731719139,67.96818510484454,5626.717281272596,False,True,True,Q3 upper-middle DV2,False,Q3 upper-middle DV1,Q3 relatively far from transport,Q3 upper-middle Google rating
New South Wales,NSW,10050,Albury,14.9460708782743,12.9429892141757,75.346687211094,80.7395993836672,False,False,False,False,649.0,649.0,648.0,649.0,63.0,158.0,89.0,41.0,9.70724191063174,24.3451463790447,13.7345679012346,6.31741140215717,56093.0,6.0,4.0,5.0,5.0,59.0,32.0,48.0,43.0,318.0,175.0,260.0,232.0,1126.608276,1160.356757,1129.488439,1126.279453,760.2833793,663.7787534,645.9059796,535.4834562,0.0499171,0.0499171,0.0499171,0.0499171,0.000499171,0.000499171,0.000499171,0.000499171,954.2700491,962.1091477,949.9993994,967.9040278,6.0,3.0,5.0,4.0,56.0,24.0,44.0,40.0,72.0,31.0,56.0,51.0,Middle: IRSD deciles 5-6,False,True,305.6386,45.0,45.0,14.723271209853731,42.0,93.33333333333331,2583.0,61.5,51.0,57.4,845.1157674456042,43.0,0.0,7.0,7.0,38.0,5.0,0.0,16.27906976744186,16.27906976744186,88.37209302325581,11.627906976744184,45.0,45.0,45.0,100.0,100.0,100.0,42.34449741817267,42.3144038994161,3.6587937960503383,3.14571732251407,3.6587937960503383,3.14571732251407,0.0,7.0,7.0,14.0,0.0,15.555555555555555,15.555555555555555,31.11111111111111,True,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,False,8.022391385734405,460.4852655411549,1.2479275488920185,0.8913768206371562,0.0,0.0,69.44444444444444,3986.1111111111113,False,True,False,Q3 upper-middle DV2,False,Q3 upper-middle DV1,Q2 relatively close to transport,
New South Wales,NSW,10180,Armidale Regional,14.0065146579805,14.0065146579805,75.5700325732899,75.8957654723127,False,False,False,False,307.0,307.0,307.0,307.0,32.0,85.0,42.0,31.0,10.4234527687296,27.6872964169381,13.6807817589577,10.0977198697068,29124.0,9.0,3.0,7.0,6.0,82.0,28.0,68.0,52.0,446.0,149.0,370.0,281.0,1123.928252,1153.35305,1110.184993,1113.666315,667.7207273,544.550268,629.1184589,485.0670253,3.1795083,3.1795083,3.1795083,3.1795083,0.031795083,0.031795083,0.031795083,0.031795083,1009.693152,955.1491195,975.5385645,980.361546,8.0,2.0,7.0,6.0,77.0,19.0,67.0,51.0,100.0,24.0,86.0,66.0,Middle: IRSD deciles 5-6,False,True,7809.4406,23.0,23.0,0.2945153331469094,22.0,95.65217391304348,1059.0,48.13636363636363,40.0,46.04347826086956,13.560510339242482,21.0,0.0,4.0,4.0,16.0,5.0,0.0,19.047619047619047,19.047619047619047,76.19047619047619,23.809523809523807,23.0,23.0,23.0,100.0,100.0,100.0,22.522246462563352,20.9844600716972,130.18671741665057,129.38672915874,22.522246462563352,20.9844600716972,0.0,0.0,0.0,23.0,0.0,0.0,0.0,100.0,True,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,False,7.897266858947947,363.61763494025547,1.373437714599643,1.7167971432495535,0.0,0.0,74.9185667752443,3449.511400651466,False,True,False,Q3 upper-middle DV2,False,Q3 upper-middle DV1,Q3 relatively far from transport,
New South Wales,NSW,10250,Ballina,10.4477611940298,9.95024875621891,83.3333333333333,83.3333333333333,False,False,False,False,402.0,402.0,402.0,402.0,25.0,68.0,36.0,27.0,6.21890547263682,16.9154228855721,8.95522388059701,6.71641791044776,46296.0,8.0,8.0,8.0,8.0,76.0,76.0,76.0,76.0,414.0,416.0,416.0,411.0,1139.337352,1174.900581,1138.272046,1132.771918,778.7658756,601.5545127,664.1006806,406.156284,0.0280802,0.0280802,0.0280802,0.0280802,0.000280802,0.000280802,0.000280802,0.000280802,990.6369938,1011.181088,995.9634697,1015.142657,8.0,8.0,8.0,8.0,72.0,76.0,73.0,76.0,93.0,98.0,94.0,98.0,Advantaged: IRSD deciles 7-8,False,True,484.9692,27.0,27.0,5.567363865581567,26.0,96.29629629629628,1592.0,61.23076923076923,56.0,58.96296296296296,328.26826940762425,27.0,0.0,9.0,9.0,27.0,0.0,0.0,33.33333333333333,33.33333333333333,100.0,0.0,27.0,27.0,27.0,100.0,100.0,100.0,23.96062543136129,25.6139782912481,6.283334680591189,4.19641372606998,6.283334680591189,4.19641372606998,0.0,0.0,0.0,12.0,0.0,0.0,0.0,44.44444444444444,True,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,False,5.832037325038881,343.8742007948851,1.9440124416796267,0.0,0.0,0.0,67.16417910447761,3960.1990049751244,False,True,False,Q2 lower-middle DV2,False,Q1 lowest DV1,Q2 relatively close to transport,
New South Wales,NSW,10300,Balranald,5.55555555555556,11.7647058823529,77.7777777777778,76.4705882352941,False,False,False,False,18.0,17.0,17.0,17.0,3.0,8.0,5.0,2.0,16.6666666666667,47.0588235294118,29.4117647058824,11.7647058823529,2208.0,3.0,4.0,4.0,4.0,30.0,38.0,36.0,37.0,159.0,206.0,194.0,200.0,1040.75304,1060.953664,1031.796445,1079.040279,862.7425649,910.2169235,869.7513649,869.826495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.8114531,969.7891439,934.3215926,960.1625158,3.0,3.0,3.0,4.0,21.0,29.0,27.0,31.0,27.0,37.0,35.0,40.0,Disadvantaged: IRSD deciles 3-4,False,True,21690.7493,2.0,2.0,0.0092205205654191,2.0,100.0,89.0,44.5,44.5,44.5,0.41031316516115,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,50.0,50.0,2.0,2.0,2.0,100.0,100.0,100.0,82.81336142743355,82.81336142743355,103.47373965615483,103.47373965615483,70.07395593732525,70.07395593732525,0.0,0.0,0.0,2.0,0.0,0.0,0.0,100.0,True,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,False,9.057971014492754,403.0797101449275,0.0,4.528985507246377,0.0,0.0,117.6470588235294,5235.294117647059,False,True,False,Q4 highest DV2,True,Q4 highest DV1,Q4 farthest from transport,
New South Wales,NSW,10470,Bathurst Regional,19.2607003891051,11.6731517509728,68.4824902723735,81.9066147859922,False,False,False,False,514.0,505.0,513.0,514.0,63.0,160.0,82.0,33.0,12.2568093385214,31.6831683168317,15.9844054580897,6.42023346303502,43567.0,7.0,7.0,7.0,7.0,63.0,65.0,63.0,61.0,343.0,356.0,340.0,330.0,1083.66627,1195.644823,1106.032789,1150.157153,693.5906102,690.0551817,652.1075348,604.1068206,2.5937063,2.5937063,2.5937063,2.5937063,0.025937063,0.025937063,0.025937063,0.025937063,959.3756049,998.7108591,967.3496568,991.4940862,6.0,7.0,7.0,7.0,59.0,62.0,63.0,64.0,76.0,80.0,81.0,83.0,Advantaged: IRSD deciles 7-8,False,True,3817.8645,29.0,29.0,0.7595869366238639,28.0,96.55172413793105,1889.0,67.46428571428571,60.0,65.13793103448276,49.47792149249927,27.0,0.0,3.0,3.0,25.0,2.0,0.0,11.11111111111111,11.11111111111111,92.5925925925926,7.4074074074074066,29.0,29.0,29.0,100.0,100.0,100.0,31.401966513910097,31.4435280375325,5.356345560472338,5.02849575936545,5.356345560472338,5.02849575936545,0.0,0.0,0.0,16.0,0.0,0.0,0.0,55.172413793103445,True,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,False,6.656414258498405,433.58505290701675,0.6885945784653522,0.45906305231023486,0.0,0.0,56.53021442495126,3682.261208576998,False,True,False,Q4 highest DV2,True,Q4 highest DV1,Q3 relatively far from transport,
New South Wales,NSW,10500,Bayside (NSW),17.1171171171171,8.69285254346426,75.4826254826255,87.5080489375402,False,False,False,False,1554.0,1550.0,1551.0,1553.0,115.0,281.0,130.0,59.0,7.4002574002574,18.1290322580645,8.38168923275306,3.79909851899549,175184.0,9.0,4.0,9.0,7.0,88.0,35.0,88.0,70.0,477.0,188.0,477.0,381.0,1196.312022,1136.643941,1173.018991,1127.041452,671.5626126,499.958974,614.5547246,448.409289,0.0456663,0.0456663,0.0456663,0.0456663,0.000456663,0.000456663,0.000456663,0.000456663,1051.299158,965.8990706,1044.468064,1003.858592,9.0,3.0,9.0,8.0,81.0,27.0,81.0,72.0,105.0,35.0,104.0,93.0,Advantaged: IRSD deciles 7-8,False,True,50.6204,112.0,112.0,221.2546720294585,111.0,99.10714285714286,6373.0,57.414414414414416,48.0,56.90178571428572,12589.785936104812,108.0,0.0,27.0,27.0,103.0,5.0,0.0,25.0,25.0,95.37037037037037,4.62962962962963,112.0,112.0,112.0,100.0,100.0,100.0,1.4425027479759536,1.23381722666106,5.050968465385688,5.35504827046447,1.1940408479637052,0.8765575908413386,51.0,8.0,59.0,0.0,45.535714285714285,7.142857142857142,52.67857142857143,0.0,True,3.0,3.0,3.0,4.633333333333334,4.7,4.5,4.7,153.0,51.0,3.0,0.0,1.0,153.0,153.0,4.640522875816994,5.0,133.0,7.0,2.0,0.0,11.0,118.0,8614.0,56.30065359477124,40.0,4.0,32.0,0.0,77.12418300653596,86.9281045751634,7.18954248366013,51.0,73.0,2.6785714285714284,True,6.393277924924651,363.7889304959357,1.541236642615764,0.28541419307699334,0.17124851584619602,8.733674308155996,72.21147646679562,4108.961960025789,False,True,True,Q2 lower-middle DV2,False,Q2 lower-middle DV1,Q1 closest to transport,Q3 upper-middle Google rating
New South Wales,NSW,10550,Bega Valley,8.56269113149847,9.84126984126984,84.4036697247707,81.9047619047619,False,False,False,False,327.0,316.0,324.0,315.0,23.0,62.0,32.0,26.0,7.03363914373089,19.620253164557,9.87654320987654,8.25396825396825,35942.0,6.0,6.0,5.0,6.0,54.0,56.0,47.0,56.0,293.0,304.0,255.0,302.0,1137.568646,1101.892137,1062.469552,1102.638576,769.4299278,836.5391262,759.3141908,753.1091178,0.0278226,0.0278226,0.0278226,0.0278226,0.000278226,0.000278226,0.000278226,0.000278226,945.9325443,986.5813606,948.7261055,985.8235732,6.0,6.0,5.0,6.0,51.0,51.0,42.0,58.0,65.0,66.0,54.0,75.0,Middle: IRSD deciles 5-6,False,True,6278.5013,17.0,17.0,0.2707652541220307,16.0,94.11764705882352,695.0,43.4375,40.5,40.88235294117647,11.069520683224196,17.0,1.0,7.0,8.0,17.0,0.0,5.88235294117647,41.17647058823529,47.05882352941176,100.0,0.0,17.0,17.0,17.0,100.0,100.0,100.0,90.69652539730404,86.7767774984558,138.10689172326587,142.580191810663,90.69652539730404,86.7767774984558,0.0,0.0,0.0,17.0,0.0,0.0,0.0,100.0,True,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,False,4.729842524066552,193.36709142507374,2.225808246619554,0.0,0.0,0.0,52.46913580246913,2145.061728395062,False,True,False,Q2 lower-middle DV2,False,Q2 lower-middle DV1,Q4 farthest from transport,
New South Wales,NSW,10600,Bellingen,14.4144144144144,10.8108108108108,81.981981981982,81.981981981982,False,False,False,False,111.0,111.0,111.0,111.0,4.0,25.0,12.0,8.0,3.6036036036036,22.5225225225225,10.8108108108108,7.20720720720721,13253.0,8.0,6.0,6.0,6.0,74.0,51.0,56.0,52.0,405.0,278.0,306.0,283.0,1087.828957,1075.704138,1048.429606,1074.604126,854.7137212,870.2452536,864.3528126,860.9280681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.0441389,982.5835873,959.8406369,980.9140786,8.0,5.0,6.0,6.0,71.0,47.0,54.0,52.0,91.0,60.0,70.0,67.0,Middle: IRSD deciles 5-6,False,True,1600.4338,10.0,10.0,0.6248305928055256,10.0,100.0,297.0,29.7,29.0,29.7,18.55746860632411,10.0,0.0,1.0,1.0,10.0,0.0,0.0,10.0,10.0,100.0,0.0,10.0,10.0,10.0,100.0,100.0,100.0,22.24165793514648,21.1266287413429,63.42170549437982,62.88116993743945,22.24165793514648,21.1266287413429,0.0,0.0,0.0,10.0,0.0,0.0,0.0,100.0,True,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,False,7.545461404964914,224.1002037274579,0.7545461404964914,0.0,0.0,0.0,90.09009009009009,2675.675675675676,False,True,False,Q2 lower-middle DV2,False,Q3 upper-middle DV1,Q3 relatively far from transport,
New South Wales,NSW,10650,Berrigan,22.2222222222222,7.77777777777778,71.1111111111111,82.2222222222222,False,False,False,False,90.0,90.0,90.0,90.0,6.0,33.0,13.0,9.0,6.66666666666667,36.6666666666667,14.4444444444444,10.0,8665.0,3.0,5.0,4.0,5.0,29.0,42.0,31.0,42.0,154.0,228.0,166.0,225.0,1103.396208,1111.537071,1082.376701,1106.555216,837.0800458,881.1541006,804.4099144,811.6209618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.9566954,973.7088438,927.155926,965.812268,2.0,4.0,3.0,4.0,20.0,32.0,24.0,37.0,25.0,41.0,31.0,47.0,Middle: IRSD deciles 5-6,False,True,2065.8878,7.0,7.0,0.3388373753889248,7.0,100.0,306.0,43.71428571428572,43.0,43.71428571428572,14.81203383843014,7.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,57.14285714285714,42.85714285714285,7.0,7.0,7.0,100.0,100.0,100.0,14.405162361882804,17.0868893590784,72.22042553048973,65.2901952181853,14.405162361882804,17.0868893590784,0.0,0.0,0.0,5.0,0.0,0.0,0.0,71.42857142857143,True,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,False,8.078476630121177,353.14483554529716,0.0,3.462204270051933,0.0,0.0,77.77777777777779,3400.0,False,True,False,Q3 upper-middle DV2,False,Q4 highest DV1,Q3 relatively far from transport,
