lga_code,lga_name,state,state_name,usual_resident_population,ieo_australia_decile,ier_australia_decile,irsad_australia_decile,irsd_australia_decile,ieo_australia_percentile,ier_australia_percentile,irsad_australia_percentile,irsd_australia_percentile,ieo_australia_rank,ier_australia_rank,irsad_australia_rank,irsd_australia_rank,ieo_max_sa1_score_in_lga,ier_max_sa1_score_in_lga,irsad_max_sa1_score_in_lga,irsd_max_sa1_score_in_lga,ieo_min_sa1_score_in_lga,ier_min_sa1_score_in_lga,irsad_min_sa1_score_in_lga,irsd_min_sa1_score_in_lga,ieo_no_sa1_score_population_percent,ier_no_sa1_score_population_percent,irsad_no_sa1_score_population_percent,irsd_no_sa1_score_population_percent,ieo_no_sa1_score_population_share,ier_no_sa1_score_population_share,irsad_no_sa1_score_population_share,irsd_no_sa1_score_population_share,ieo_score,ier_score,irsad_score,irsd_score,ieo_state_decile,ier_state_decile,irsad_state_decile,irsd_state_decile,ieo_state_percentile,ier_state_percentile,irsad_state_percentile,irsd_state_percentile,ieo_state_rank,ier_state_rank,irsad_state_rank,irsd_state_rank,irsd_disadvantage_group,is_most_disadvantaged_irsd_decile_1_2
10050,Albury,NSW,New South Wales,56093,6,4,5,5,59,32,48,43,318,175,260,232,1126.608276,1160.356757,1129.488439,1126.279453,760.2833793,663.7787534,645.9059796,535.4834562,0.0499171,0.0499171,0.0499171,0.0499171,0.000499171,0.000499171,0.000499171,0.000499171,954.2700491,962.1091477,949.9993994,967.9040278,6,3,5,4,56,24,44,40,72,31,56,51,Middle: IRSD deciles 5-6,False
10180,Armidale Regional,NSW,New South Wales,29124,9,3,7,6,82,28,68,52,446,149,370,281,1123.928252,1153.35305,1110.184993,1113.666315,667.7207273,544.550268,629.1184589,485.0670253,3.1795083,3.1795083,3.1795083,3.1795083,0.031795083,0.031795083,0.031795083,0.031795083,1009.693152,955.1491195,975.5385645,980.361546,8,2,7,6,77,19,67,51,100,24,86,66,Middle: IRSD deciles 5-6,False
10250,Ballina,NSW,New South Wales,46296,8,8,8,8,76,76,76,76,414,416,416,411,1139.337352,1174.900581,1138.272046,1132.771918,778.7658756,601.5545127,664.1006806,406.156284,0.028080200000000003,0.028080200000000003,0.028080200000000003,0.028080200000000003,0.000280802,0.000280802,0.000280802,0.000280802,990.6369938,1011.181088,995.9634697,1015.142657,8,8,8,8,72,76,73,76,93,98,94,98,Advantaged: IRSD deciles 7-8,False
10300,Balranald,NSW,New South Wales,2208,3,4,4,4,30,38,36,37,159,206,194,200,1040.75304,1060.953664,1031.796445,1079.040279,862.7425649,910.2169235,869.7513649,869.826495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.8114531,969.7891439,934.3215926,960.1625158,3,3,3,4,21,29,27,31,27,37,35,40,Disadvantaged: IRSD deciles 3-4,False
10470,Bathurst Regional,NSW,New South Wales,43567,7,7,7,7,63,65,63,61,343,356,340,330,1083.66627,1195.644823,1106.032789,1150.157153,693.5906102,690.0551817,652.1075348,604.1068206,2.5937063,2.5937063,2.5937063,2.5937063,0.025937063,0.025937063,0.025937063,0.025937063,959.3756049,998.7108591,967.3496568,991.4940862,6,7,7,7,59,62,63,64,76,80,81,83,Advantaged: IRSD deciles 7-8,False
10500,Bayside (NSW),NSW,New South Wales,175184,9,4,9,7,88,35,88,70,477,188,477,381,1196.312022,1136.643941,1173.018991,1127.041452,671.5626126,499.958974,614.5547246,448.409289,0.0456663,0.0456663,0.0456663,0.0456663,0.000456663,0.000456663,0.000456663,0.000456663,1051.299158,965.8990706,1044.468064,1003.858592,9,3,9,8,81,27,81,72,105,35,104,93,Advantaged: IRSD deciles 7-8,False
10550,Bega Valley,NSW,New South Wales,35942,6,6,5,6,54,56,47,56,293,304,255,302,1137.568646,1101.892137,1062.469552,1102.638576,769.4299278,836.5391262,759.3141908,753.1091178,0.027822600000000003,0.027822600000000003,0.027822600000000003,0.027822600000000003,0.000278226,0.000278226,0.000278226,0.000278226,945.9325443,986.5813606,948.7261055,985.8235732,6,6,5,6,51,51,42,58,65,66,54,75,Middle: IRSD deciles 5-6,False
10600,Bellingen,NSW,New South Wales,13253,8,6,6,6,74,51,56,52,405,278,306,283,1087.828957,1075.704138,1048.429606,1074.604126,854.7137212,870.2452536,864.3528126,860.9280681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.0441389,982.5835873,959.8406369,980.9140786,8,5,6,6,71,47,54,52,91,60,70,67,Middle: IRSD deciles 5-6,False
10650,Berrigan,NSW,New South Wales,8665,3,5,4,5,29,42,31,42,154,228,166,225,1103.396208,1111.537071,1082.376701,1106.555216,837.0800458,881.1541006,804.4099144,811.6209618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.9566954,973.7088438,927.155926,965.812268,2,4,3,4,20,32,24,37,25,41,31,47,Middle: IRSD deciles 5-6,False
10750,Blacktown,NSW,New South Wales,396776,8,9,8,6,77,81,80,56,420,442,437,306,1174.325647,1247.567301,1226.578283,1150.299752,714.0634306,615.5340999,591.5255136,446.6402444,0.3427627,0.3515838,0.3515838,0.3515838,0.003427627,0.003515838,0.003515838,0.003515838,992.7988619,1019.569491,1005.570091,987.3395271,8,9,8,6,73,81,74,59,94,104,96,76,Middle: IRSD deciles 5-6,False
