lga_code,lga_name,state_name,state_abbrev,lga_area_sq_km,n_service_records,n_services,services_per_100_sq_km,n_services_with_approved_places,pct_services_with_approved_places,total_approved_places,mean_approved_places,median_approved_places,approved_places_per_service,approved_places_per_100_sq_km,n_services_with_assessed_nqs_rating,n_excellent_nqs_services,n_exceeding_nqs_services,n_high_quality_services,n_meeting_or_above_nqs_services,n_below_meeting_nqs_services,pct_excellent_nqs_services,pct_exceeding_nqs_services,pct_high_quality_services,pct_meeting_or_above_nqs_services,pct_below_meeting_nqs_services,n_services_with_train_distance,n_services_with_bus_distance,n_services_with_any_transport_distance,pct_services_with_train_distance,pct_services_with_bus_distance,pct_services_with_any_transport_distance,mean_train_distance_km,median_train_distance_km,mean_bus_distance_km,median_bus_distance_km,mean_nearest_transport_distance_km,median_nearest_transport_distance_km,n_within_1km_train,n_within_1km_bus,n_within_1km_any_transport,n_farther_than_5km_any_transport,pct_within_1km_train,pct_within_1km_bus,pct_within_1km_any_transport,pct_farther_than_5km_any_transport
89399,Unincorporated ACT,Australian Capital Territory,ACT,2358.133,376,376,15.9448173618706,370,98.40425531914893,31127.0,84.12702702702703,77.0,82.78457446808511,1319.984920273793,354,0,156,156,303,51,0.0,44.06779661016949,44.06779661016949,85.59322033898306,14.40677966101695,376,376,376,100.0,100.0,100.0,6.159101477602549,5.629401294549205,9.224157595364971,9.117954000915056,6.146745559995726,5.629401294549205,44,5,44,203,11.702127659574469,1.3297872340425532,11.702127659574469,53.98936170212766
10050,Albury,New South Wales,NSW,305.6386,45,45,14.723271209853731,42,93.33333333333333,2583.0,61.5,51.0,57.4,845.1157674456042,43,0,7,7,38,5,0.0,16.27906976744186,16.27906976744186,88.37209302325581,11.627906976744185,45,45,45,100.0,100.0,100.0,42.34449741817267,42.3144038994161,3.6587937960503387,3.14571732251407,3.6587937960503387,3.14571732251407,0,7,7,14,0.0,15.555555555555555,15.555555555555555,31.11111111111111
10180,Armidale Regional,New South Wales,NSW,7809.4406,23,23,0.2945153331469094,22,95.65217391304348,1059.0,48.13636363636363,40.0,46.04347826086956,13.560510339242482,21,0,4,4,16,5,0.0,19.047619047619047,19.047619047619047,76.19047619047619,23.809523809523807,23,23,23,100.0,100.0,100.0,22.522246462563352,20.9844600716972,130.18671741665057,129.38672915874,22.522246462563352,20.9844600716972,0,0,0,23,0.0,0.0,0.0,100.0
10250,Ballina,New South Wales,NSW,484.9692,27,27,5.567363865581567,26,96.29629629629629,1592.0,61.23076923076923,56.0,58.96296296296296,328.26826940762425,27,0,9,9,27,0,0.0,33.33333333333333,33.33333333333333,100.0,0.0,27,27,27,100.0,100.0,100.0,23.96062543136129,25.6139782912481,6.283334680591189,4.19641372606998,6.283334680591189,4.19641372606998,0,0,0,12,0.0,0.0,0.0,44.44444444444444
10300,Balranald,New South Wales,NSW,21690.7493,2,2,0.009220520565419103,2,100.0,89.0,44.5,44.5,44.5,0.41031316516115,2,0,0,0,1,1,0.0,0.0,0.0,50.0,50.0,2,2,2,100.0,100.0,100.0,82.81336142743355,82.81336142743355,103.47373965615483,103.47373965615483,70.07395593732525,70.07395593732525,0,0,0,2,0.0,0.0,0.0,100.0
10470,Bathurst Regional,New South Wales,NSW,3817.8645,29,29,0.7595869366238639,28,96.55172413793103,1889.0,67.46428571428571,60.0,65.13793103448276,49.47792149249927,27,0,3,3,25,2,0.0,11.11111111111111,11.11111111111111,92.5925925925926,7.4074074074074066,29,29,29,100.0,100.0,100.0,31.401966513910097,31.4435280375325,5.356345560472338,5.02849575936545,5.356345560472338,5.02849575936545,0,0,0,16,0.0,0.0,0.0,55.172413793103445
10500,Bayside (NSW),New South Wales,NSW,50.6204,112,112,221.2546720294585,111,99.10714285714286,6373.0,57.414414414414416,48.0,56.901785714285715,12589.785936104812,108,0,27,27,103,5,0.0,25.0,25.0,95.37037037037037,4.62962962962963,112,112,112,100.0,100.0,100.0,1.4425027479759536,1.2338172266610599,5.0509684653856874,5.35504827046447,1.1940408479637052,0.8765575908413386,51,8,59,0,45.535714285714285,7.142857142857142,52.67857142857143,0.0
10550,Bega Valley,New South Wales,NSW,6278.5013,17,17,0.2707652541220307,16,94.11764705882352,695.0,43.4375,40.5,40.88235294117647,11.069520683224196,17,1,7,8,17,0,5.88235294117647,41.17647058823529,47.05882352941176,100.0,0.0,17,17,17,100.0,100.0,100.0,90.69652539730404,86.7767774984558,138.10689172326587,142.580191810663,90.69652539730404,86.7767774984558,0,0,0,17,0.0,0.0,0.0,100.0
10600,Bellingen,New South Wales,NSW,1600.4338,10,10,0.6248305928055256,10,100.0,297.0,29.7,29.0,29.7,18.55746860632411,10,0,1,1,10,0,0.0,10.0,10.0,100.0,0.0,10,10,10,100.0,100.0,100.0,22.24165793514648,21.1266287413429,63.42170549437982,62.88116993743945,22.24165793514648,21.1266287413429,0,0,0,10,0.0,0.0,0.0,100.0
10650,Berrigan,New South Wales,NSW,2065.8878,7,7,0.3388373753889248,7,100.0,306.0,43.714285714285715,43.0,43.714285714285715,14.81203383843014,7,0,0,0,4,3,0.0,0.0,0.0,57.14285714285714,42.857142857142854,7,7,7,100.0,100.0,100.0,14.405162361882805,17.0868893590784,72.22042553048973,65.2901952181853,14.405162361882805,17.0868893590784,0,0,0,5,0.0,0.0,0.0,71.42857142857143
